runtime,databaseProvider,driverName,queryName,min,p25,avg,p75,max
node,pgsql,postgresjs,connect,50,50,50,50,50
node,pgsql,postgresjs,select1,2,2,2.48,3,3
node,pgsql,postgresjs,selectPostsSmall,3,3,3.12,3,7
node,pgsql,postgresjs,selectPostsMedium,3,4,4.64,4,12
node,mysql,mysql2,connect,10,10,10,10,10
node,mysql,mysql2,select1,3,3,3.38,4,4
node,mysql,mysql2,selectPostsSmall,5,5,5.54,5.75,14
node,mysql,mysql2,selectPostsMedium,6,7,9.34,8.75,36
node,mysql,mariadb,connect,5,5,5,5,5
node,mysql,mariadb,select1,3,3,3.36,4,4
node,mysql,mariadb,selectPostsSmall,4,5,5.26,5,14
node,mysql,mariadb,selectPostsMedium,6,7,7.58,8,13
node,mysql,ps_serverless,connect,84,84,84,84,84
node,mysql,ps_serverless,select1,4,5,5.5,5.75,21
node,mysql,ps_serverless,selectPostsSmall,6,7,7.38,7,13
node,mysql,ps_serverless,selectPostsMedium,10,11,14.54,14,56
deno,pgsql,postgresjs,connect,380,380,380,380,380
deno,pgsql,postgresjs,select1,3,3,3.34,4,6
deno,pgsql,postgresjs,selectPostsSmall,3,4,4.42,4,20
deno,pgsql,postgresjs,selectPostsMedium,5,5,6.14,6,17
deno,mysql,deno_mysql,connect,75,75,75,75,75
deno,mysql,deno_mysql,select1,4,4,4,4,4
deno,mysql,deno_mysql,selectPostsSmall,5,6,7.04,7,17
deno,mysql,deno_mysql,selectPostsMedium,11,11,13.06,14,25
deno,mysql,ps_serverless,connect,19,19,19,19,19
deno,mysql,ps_serverless,select1,47,48,48.86,48.75,52
deno,mysql,ps_serverless,selectPostsSmall,48,48,51.24,52,60
deno,mysql,ps_serverless,selectPostsMedium,51,52,53.56,55,62
